alias,mature,safe,range
vox_plr_0_crawler_start_3,I'll deal with the rest of you later.,I'll deal with the rest of you later.,1600
vox_plr_0_dig_cash_0,We'll call this payment for services rendered.,We'll call this payment for services rendered.,1600
vox_plr_0_dig_grenade_0,Fire in the hole!,Fire in the hole!,1600
vox_plr_0_dig_gun_0,"Well, I'll be. Just found myself another gun.","Well, I'll be. Just found myself another gun.",1600
vox_plr_0_dig_powerup_0,"Haha, that dug us up some good luck.","Haha, that dug us up some good luck.",1600
vox_plr_0_dig_staff_part_0,It's a part of some kind of staff.,It's a part of some kind of staff.,1600
vox_plr_0_dig_zombie_0,SHIT!,You gotta be kidding me!,1600
vox_plr_0_discover_dig_site_0,The Mound. That's where you first saw them?,The Mound. That's where you first saw them?,1600
vox_plr_0_discover_mech_0,"Ah, shit. You never warned us they were armor, Richtofen!","Hey, you never warned us they wore armor, Richtofen!",1600
vox_plr_0_discover_robot_0,One of those robots nearly crushed us! First time I've had~a clear look at it. Holy shit.,One of those robots nearly crushed us! First time I've had~a clear look at it. Holy smokes.,1600
vox_plr_0_discover_tank_0,Got ourselves some transport if we need it. Tank up ahead.,Got ourselves some transport if we need it. Tank up ahead.,1600
vox_plr_0_discover_wall_buy_0,You gotta be kidding me. How does that work?,You gotta be kidding me. How does that work?,1600
vox_plr_0_during_round_1_0,Shoot him in the head. That seems to work.,Shoot him in the head. That seems to work.,1600
vox_plr_0_earn_acheivement_0,There's some significance to that?,There's some significance to that?,1600
vox_plr_0_earn_acheivement_1,Give it to someone else. I got enough medals already.,Give it to someone else. I got enough medals already.,1600
vox_plr_0_end_round_1_1_0,"Okay, Doctor, you wanna tell us just what your people have~been doing here?","Okay, Doctor, you wanna tell us just what your people have~been doing here?",1600
vox_plr_0_end_round_1_5_0,"Target area appears affected by an unknown contaminant.~Enemy personnel have degenerated to their primal|instincts, exhibiting irrational and unparalleled~savagery.","Target area appears affected by an unknown contaminant.~Enemy personnel have degenerated to their primal|instincts, exhibiting irrational and unparalleled~savagery.",1600
vox_plr_0_end_round_1_6_1,Recommend all allied units set up exclusion zone until~further intel is available.,Recommend all allied units set up exclusion zone until~further intel is available.,1600
vox_plr_0_end_round_2_1_0,Uncovered further evidence of large-scale mechanization of~German forces. Attempts to gather intel being hampered by|the infected enemy.,Uncovered further evidence of large-scale mechanization of~German forces. Attempts to gather intel being hampered by|the infected enemy.,1600
vox_plr_0_enter_robot_0,I think we're inside the robot's head.,I think we're inside the robot's head.,1600
vox_plr_0_enter_robot_1,Guess this has been running on autopilot ever since the~crew were killed.,Guess this has been running on autopilot ever since the~crew were killed.,1600
vox_plr_0_exit_robot_0,AHHHH!,AHHHH!,1600
vox_plr_0_exit_tank_0,I am out of here.,I am out of here.,1600
vox_plr_0_exit_tank_1,That's enough of that!,That's enough of that!,1600
vox_plr_0_exit_tank_2,I'm through riding around.,I'm through riding around.,1600
vox_plr_0_find_secret_0,Where's that music coming from?,Where's that music coming from?,1600
vox_plr_0_game_start_0,"Field Report. Confirming arrival at site identified in our~intel. No sign of the target, nor the other agents|believed to be on intercept course. Dempsey out.","Field Report. Confirming arrival at site identified in our~intel. No sign of the target, nor the other agents|believed to be on intercept course. Dempsey out.",1600
vox_plr_0_game_start_meet_2_0,"You're Doctor Richtofen, right? I'm taking you out of~here.","You're Doctor Richtofen, right? I'm taking you out of~here.",1600
vox_plr_0_generator_find_0,"If powering up these conversion generators means we stand~a better chance of survival, then I'm with a German.","If powering up these conversion generators means we stand~a better chance of survival, then I'm with a German.",1600
vox_plr_0_generic_chastise_0,I ain't sure that girl's right in the head. She really~gets mad if she doesn't get her way.,I ain't sure that girl's right in the head. She really~gets mad if she doesn't get her way.,1600
vox_plr_0_generic_chastise_1,"We kinda got a lot going on down here, little girl.","We kinda got a lot going on down here, little girl.",1600
vox_plr_0_generic_chastise_2,Be a whole lot easier if we knew exactly what to do.,Be a whole lot easier if we knew exactly what to do.,1600
vox_plr_0_generic_chastise_3,"You should show a bit more gratitude. I'm risking my life~for you, little girl.","You should show a bit more gratitude. I'm risking my life~for you, little girl.",1600
vox_plr_0_generic_encourage_0,"I'm working on it, little girl.","I'm working on it, little girl.",1600
vox_plr_0_generic_encourage_1,"Hang in there, we'll get this damn gateway open.",Hang in there. We'll get this gateway open.,1600
vox_plr_0_generic_encourage_2,Sounds like we got a long way to go.,Sounds like we got a long way to go.,1600
vox_plr_0_generic_wall_buy_0,Just give me one of these.,Just give me one of these.,1600
vox_plr_0_generic_wall_buy_1,"Don't make no sense, but I'll take it.","Don't make no sense, but I'll take it.",1600
vox_plr_0_generic_wall_buy_2,"I'll take one of these, thanks.","I'll take one of these, thanks.",1600
vox_plr_0_generic_wall_buy_3,This'll do me just fine.,This'll do me just fine.,1600
vox_plr_0_generic_wall_buy_4,Did Richtofen make these? Or is this something to do with~a girl?,Did Richtofen make these? Or is this something to do with~a girl?,1600
vox_plr_0_get_beacon_0,"Looks like some kind of beacon. Question is, what for?","Looks like some kind of beacon. Question is, what for?",1600
vox_plr_0_head_rspnd_to_plr_1_neg_0,Nikolai just got a lucky shot off.,Nikolai just got a lucky shot off.,1600
vox_plr_0_head_rspnd_to_plr_1_neg_1,"You sure you're aiming for him, Nikolai?","You sure you're aiming for him, Nikolai?",1600
vox_plr_0_head_rspnd_to_plr_1_neg_2,"Hey Russian, how'd you pull that one off?","Hey Russian, how'd you pull that one off?",1600
vox_plr_0_head_rspnd_to_plr_1_neg_3,"Haha, that must have been an extra dumb freak sack.","Haha, that must have been an extra dumb freak sack.",1600
vox_plr_0_head_rspnd_to_plr_1_neg_4,"Why don't you do that every time, Russian?","Why don't you do that every time, Russian?",1600
vox_plr_0_head_rspnd_to_plr_1_pos_0,"Keep it up, Nikolai!","Keep it up, Nikolai!",1600
vox_plr_0_head_rspnd_to_plr_1_pos_1,"The Motherland would be proud, Nikolai!","The Motherland would be proud, Nikolai!",1600
vox_plr_0_head_rspnd_to_plr_1_pos_2,"You nailed him good, Nikolai!","You nailed him good, Nikolai!",1600
vox_plr_0_head_rspnd_to_plr_1_pos_3,Nikolai's kicking ass right now!,Nikolai's kicking butt right now!,1600
vox_plr_0_head_rspnd_to_plr_1_pos_4,You maggot sacks better stay back! Nikolai is bringing the~heat!,You maggot sacks better stay back! Nikolai is bringing the~heat!,1600
vox_plr_0_head_rspnd_to_plr_2_neg_0,"Aren't you supposed to be a doctor, Richtofen?","Aren't you supposed to be a doctor, Richtofen?",1600
vox_plr_0_head_rspnd_to_plr_2_neg_1,Maybe you should offer to sew up the wound.,Maybe you should offer to sew up the wound.,1600
vox_plr_0_head_rspnd_to_plr_2_neg_2,"What's the diagnosis, Doc? Lucky shot?","What's the diagnosis, Doc? Lucky shot?",1600
vox_plr_0_head_rspnd_to_plr_2_neg_3,I ain't sure where you were aiming.,I ain't sure where you were aiming.,1600
vox_plr_0_head_rspnd_to_plr_2_neg_4,"More brain experiments, German?","More brain experiments, German?",1600
vox_plr_0_head_rspnd_to_plr_2_pos_0,Guess Richtofen can hold his own in a firefight.,Guess Richtofen can hold his own in a firefight.,1600
vox_plr_0_head_rspnd_to_plr_2_pos_1,"Glad we're on the same side, Richtofen. At least till this~shit's over.","Glad we're on the same side, Richtofen. At least till this~is over.",1600
vox_plr_0_head_rspnd_to_plr_2_pos_2,"You're a cold-hearted son of a bitch, Richtofen. I'm~starting to like you.","You're a cold-hearted man, Richtofen. I'm starting to like~you.",1600
vox_plr_0_head_rspnd_to_plr_2_pos_3,"Hey, Richtofen, just keep doing what you're doing.","Hey, Richtofen, just keep doing what you're doing.",1600
vox_plr_0_head_rspnd_to_plr_2_pos_4,"Nice headshot, Richtofen.","Nice headshot, Richtofen.",1600
vox_plr_0_head_rspnd_to_plr_3_neg_0,"How about you do that a little more often, Takeo?","How about you do that a little more often, Takeo?",1600
vox_plr_0_head_rspnd_to_plr_3_neg_1,Not often Takeo bags himself a headshot.,Not often Takeo bags himself a headshot.,1600
vox_plr_0_head_rspnd_to_plr_3_neg_2,"Shit, Takeo, that maggot sack must have wanted to die!","Wow Takeo, that maggot sack must have wanted to die.",1600
vox_plr_0_head_rspnd_to_plr_3_neg_3,You really do that Takeo?,You really do that Takeo?,1600
vox_plr_0_head_rspnd_to_plr_3_neg_4,"A single headshot ain't much to crow about, Takeo.","A single headshot ain't much to crow about, Takeo.",1600
vox_plr_0_head_rspnd_to_plr_3_pos_0,Tack's looking more like a real samurai every minute.,Tack's looking more like a real samurai every minute.,1600
vox_plr_0_head_rspnd_to_plr_3_pos_1,"You're a hell of a good shot, Takeo!","You're a good shot, Takeo.",1600
vox_plr_0_head_rspnd_to_plr_3_pos_2,"He didn't know what hit him, Tack!","He didn't know what hit him, Tack!",1600
vox_plr_0_head_rspnd_to_plr_3_pos_3,"Nice one, Tech! That's the way of the warrior right there!","Nice one, Tech! That's the way of the warrior right there!",1600
vox_plr_0_head_rspnd_to_plr_3_pos_4,Takeo doesn't even miss using his sword.,Takeo doesn't even miss using his sword.,1600
vox_plr_0_heal_revived_0,We need all the men we've got.,We need all the men we've got.,1600
vox_plr_0_heal_revived_1,Quit slacking! We still got a fight on our hands!,Quit slacking! We still got a fight on our hands!,1600
vox_plr_0_heal_revived_2,I gotcha.,I gotcha.,1600
vox_plr_0_heal_revived_3,What's the matter? Your courage desert you?,What's the matter? Your courage desert you?,1600
vox_plr_0_heal_revived_4,I need you back in the fight.,I need you back in the fight.,1600
vox_plr_0_heal_revived_neg_0,Try not to make so many mistakes.,Try not to make so many mistakes.,1600
vox_plr_0_heal_revived_neg_1,"I'm keeping you around. If things get any worse, I'll use~you as bait.","I'm keeping you around. If things get any worse, I'll use~you as bait.",1600
vox_plr_0_heal_revived_pos_0,You're too good in combat to just let you die.,You're too good in combat to just let you die.,1600
vox_plr_0_heal_revived_pos_1,I ain't gonna leave you. Not when you're kicking so much~ass.,I ain't gonna leave you. Not when you're kicking so much~butt.,1600
vox_plr_0_hear_samantha_1_0,What the... Did anyone just hear a little girl?,What the... Did anyone just hear a little girl?,1600
vox_plr_0_hear_samantha_2_0,There she is again. Can you hear me little girl? Where are~you?,There she is again. Can you hear me little girl? Where are~you?,1600
vox_plr_0_hear_samantha_3_0,I don't suppose you remember what he did. Kinda in the~dark here.,I don't suppose you remember what he did. Kinda in the~dark here.,1600
vox_plr_0_heroes_confer_0,"What do you know about the girl, Richtofen? Is she trapped~somewhere on this site?","What do you know about the girl, Richtofen? Is she trapped~somewhere on this site?",1600
vox_plr_0_kill_close_0,"Stay the fuck away, freak!","Stay back, freak!",1600
vox_plr_0_kill_close_1,Eat it.,Eat it.,1600
vox_plr_0_kill_close_2,Get out of my fucking way!,Get out of my way!,1600
vox_plr_0_kill_close_3,You think you can take me?,You think you can take me?,1600
vox_plr_0_kill_close_4,Don't start fights you can't win.,Don't start fights you can't win.,1600
vox_plr_0_kill_close_5,Your eating days are over.,Your eating days are over.,1600
vox_plr_0_kill_damaged_0,You don't get to walk away.,You don't get to walk away.,1600
vox_plr_0_kill_damaged_1,I'm not in the mood for this shit.,I'm not in the mood for this.,1600
vox_plr_0_kill_damaged_2,You crossed a line.,You crossed a line.,1600
vox_plr_0_kill_damaged_3,Your first mistake was touching me. Your second was~sticking around.,Your first mistake was touching me. Your second was~sticking around.,1600
vox_plr_0_kill_damaged_4,Do you think this was gonna go any other way?,Do you think this was gonna go any other way?,1600
vox_plr_0_kill_damaged_5,I'm through talking to you.,I'm through talking to you.,1600
vox_plr_0_kill_drone_0,Appreciate the help!,Appreciate the help!,1600
vox_plr_0_kill_drone_1,Nice shooting!,Nice shooting!,1600
vox_plr_0_kill_drone_2,It's a few less freaks for me to deal with.,It's a few less freaks for me to deal with.,1600
vox_plr_0_kill_explo_0,That'll do it.,That'll do it.,1600
vox_plr_0_kill_explo_1,"Burn, you sons of bitches!","Burn, freaks.",1600
vox_plr_0_kill_explo_2,No one's walking away from that blast!,No one's walking away from that blast!,1600
vox_plr_0_kill_explo_3,Get used to the heat cause you're gonna burn in hell.,Get used to the heat!,1600
vox_plr_0_kill_explo_4,I think that explosion took him down for good.,I think that explosion took him down for good.,1600
vox_plr_0_kill_fire_0,"You feeling the heat, you freak bag sons of bitches?","You feeling the heat, you freakbags?",1600
vox_plr_0_kill_fire_1,"Burn, baby, burn!","Burn, baby, burn!",1600
vox_plr_0_kill_fire_2,Come any closer and I'll jab this thing in your freaking~eye!,Come any closer and I'll jab this thing in your freaking~eye!,1600
vox_plr_0_kill_fire_3,You're so hot you're burning up!,You're so hot you're burning up!,1600
vox_plr_0_kill_fire_4,"Anyone asks, tell them Dempsey is packing heat!","Anyone asks, tell them Dempsey is packing heat!",1600
vox_plr_0_kill_fire_upgrade_0,You ain't escaping those flames!,You ain't escaping those flames!,1600
vox_plr_0_kill_fire_upgrade_1,The fires of hell ain't nothing compared to what I'm doing~to you!,A furnace ain't nothing compared to what I'm doing to you!,1600
vox_plr_0_kill_fire_upgrade_2,I'll burn this place to the ground if I have to.,I'll burn this place to the ground if I have to.,1600
vox_plr_0_kill_fire_upgrade_3,"If you play with fire, you're gonna get burned!","If you play with fire, you're gonna get burned!",1600
vox_plr_0_kill_fire_upgrade_4,"You may be hot, but I ain't even breaking a sweat!","You may be hot, but I ain't even breaking a sweat!",1600
vox_plr_0_kill_headshot_0,That's how I get shit done.,That's how I get it done.,1600
vox_plr_0_kill_headshot_1,You can keep the bullet.,You can keep the bullet.,1600
vox_plr_0_kill_headshot_2,Don't fuck with me! I'm a crack shot!,Don't mess with me. I'm a crack shot.,1600
vox_plr_0_kill_headshot_3,"Didn't even know what hit ya, did ya?","Didn't even know what hit ya, did ya?",1600
vox_plr_0_kill_headshot_4,Stay there this time!,Stay there this time!,1600
vox_plr_0_kill_headshot_5,You didn't see that one coming.,You didn't see that one coming.,1600
vox_plr_0_kill_headshot_6,You might as well be fish in a barrel.,You might as well be fish in a barrel.,1600
vox_plr_0_kill_headshot_7,How do you like that?,How do you like that?,1600
vox_plr_0_kill_headshot_8,This shit comes easy to me.,This comes easy to me.,1600
vox_plr_0_kill_ice_0,I'm putting you all on ice!,I'm putting you all on ice!,1600
vox_plr_0_kill_ice_1,Maybe you'll be warmer in hell!,Maybe you'll be warmer in your grave.,1600
vox_plr_0_kill_ice_2,Haha! What's the matter? Feeling a little brittle?,Haha! What's the matter? Feeling a little brittle?,1600
vox_plr_0_kill_ice_3,"Didn't you ever hear the phrase, a cold day in hell?","Didn't you ever hear the phrase, bundle up?",1600
vox_plr_0_kill_ice_4,You want the bad news? You ain't ever gonna thaw out!,You want the bad news? You ain't ever gonna thaw out!,1600
vox_plr_0_kill_ice_upgrade_0,Your next move is to break into a million pieces.,Your next move is to break into a million pieces.,1600
vox_plr_0_kill_ice_upgrade_1,You're just in time for the new Ice Age!,You're just in time for the new Ice Age!,1600
vox_plr_0_kill_ice_upgrade_2,"Pardon the pun, but that was pretty cool.","Pardon the pun, but that was pretty cool.",1600
vox_plr_0_kill_ice_upgrade_3,I can be a cold-hearted son of a bitch when I want to.,I can be a cold-hearted person when I want to.,1600
vox_plr_0_kill_ice_upgrade_4,It's gonna be a long hard winter for you!,It's gonna be a long hard winter for you!,1600
vox_plr_0_kill_insta_0,"Walk it off, freak bag!","Walk it off, freak bag!",1600
vox_plr_0_kill_insta_1,Get the fuck down!,And stay down!,1600
vox_plr_0_kill_insta_2,"Here, nothing. You hear me?","Here, nothing. You hear me?",1600
vox_plr_0_kill_insta_3,You're getting cut!,You're getting cut!,1600
vox_plr_0_kill_insta_4,Almost too easy!,Almost too easy!,1600
vox_plr_0_kill_light_0,I find you guilty as charged!,I find you guilty as charged!,1600
vox_plr_0_kill_light_1,"Get used to it, freaks! Lightning can strike twice!","Get used to it, freaks! Lightning can strike twice!",1600
vox_plr_0_kill_light_2,"When I strike, I strike hard!","When I strike, I strike hard!",1600
vox_plr_0_kill_light_3,I've got my own power source right here!,I've got my own power source right here!,1600
vox_plr_0_kill_light_4,Each and every one of you pusbags is gonna fry!,Each and every one of you pusbags is gonna fry!,1600
vox_plr_0_kill_light_upgrade_0,"Don't worry, maggot bags. I've got more than enough~lightning to go around.","Don't worry, maggot bags. I've got more than enough~lightning to go around.",1600
vox_plr_0_kill_light_upgrade_1,"Batten down the hatches, there's a storm headed your way!","Batten down the hatches, there's a storm headed your way!",1600
vox_plr_0_kill_light_upgrade_2,Die alone or die together. Makes no difference to me.,Die alone or die together. Makes no difference to me.,1600
vox_plr_0_kill_light_upgrade_3,How's it feel being caught in the middle of a chain~reaction?,How's it feel being caught in the middle of a chain~reaction?,1600
vox_plr_0_kill_light_upgrade_4,What did I tell you? Lightning CAN strike twice!,What did I tell you? Lightning CAN strike twice!,1600
vox_plr_0_kill_one_inch_0,Get the fuck away!,Get away!,1600
vox_plr_0_kill_one_inch_1,Pick up your teeth on the way out.,Pick up your teeth on the way out.,1600
vox_plr_0_kill_one_inch_2,You picked on the wrong guy!,You picked on the wrong guy!,1600
vox_plr_0_kill_one_inch_3,Now you know what my fists can do!,Now you know what my fists can do!,1600
vox_plr_0_kill_one_inch_4,"You got knocked out, bitch!",You got knocked out!,1600
vox_plr_0_kill_ray_0,"Keep coming, I'm a crack shot.","Keep coming, I'm a crack shot.",1600
vox_plr_0_kill_ray_1,I'm not gonna trade this one in.,I'm not gonna trade this one in.,1600
vox_plr_0_kill_ray_2,I'm surprised there ain't more recoil on this.,I'm surprised there ain't more recoil on this.,1600
vox_plr_0_kill_ray_3,How'd you think this would go?,How'd you think this would go?,1600
vox_plr_0_kill_ray_4,This may be the best weapon I've ever fired.,This may be the best weapon I've ever fired.,1600
vox_plr_0_kill_ray_5,"Hey German, how'd you come up with this thing?","Hey German, how'd you come up with this thing?",1600
vox_plr_0_kill_raymk2_0,You starting to feel a burning sensation?,You starting to feel a burning sensation?,1600
vox_plr_0_kill_raymk2_1,"You got flash fried, freak bag!","You got flash fried, freak bag!",1600
vox_plr_0_kill_raymk2_2,Bring in the heat!,Bring in the heat!,1600
vox_plr_0_kill_raymk2_3,You freaks ought to call it quits right now!,You freaks ought to call it quits right now!,1600
vox_plr_0_kill_raymk2_4,"Can't walk through three burst fire, can ya?","Can't walk through three burst fire, can ya?",1600
vox_plr_0_kill_streak_0,You freaks! Don't stand a chance!,You freaks! Don't stand a chance!,1600
vox_plr_0_kill_streak_1,"The sooner you all die, the sooner I can get out of here.","The sooner you all die, the sooner I can get out of here.",1600
vox_plr_0_kill_streak_2,"Come on, you sons of bitches!","Come on, punks!",1600
vox_plr_0_kill_streak_3,You're not taking me down. Not today!,You're not taking me down. Not today!,1600
vox_plr_0_kill_streak_4,You freakbags. Picked on the wrong marine.,You freakbags. Picked on the wrong marine.,1600
vox_plr_0_kill_streak_5,You don't seem to understand. I'm trained for this!,You don't seem to understand. I'm trained for this!,1600
vox_plr_0_kill_streak_7,This is one war you're not gonna win.,This is one war you're not gonna win.,1600
vox_plr_0_kill_tank_0,You can't stand the heat! Stay away from the flamethrower!,You can't stand the heat! Stay away from the flamethrower!,1600
vox_plr_0_kill_tank_1,You maggot ridden freaks should have kept your heads down!,You maggot ridden freaks should have kept your heads down!,1600
vox_plr_0_kill_tank_2,You feel something burning? That's our flamethrower!,You feel something burning? That's our flamethrower!,1600
vox_plr_0_kill_wind_0,You having trouble staying on your feet?,You having trouble staying on your feet?,1600
vox_plr_0_kill_wind_1,The Wind Staff will blow you freaks straight into the next~life!,The Wind Staff will blow you freaks straight into the next~life!,1600
vox_plr_0_kill_wind_2,"One way or another, you should have known I was gonna blow~you away!","One way or another, you should have known I was gonna blow~you away!",1600
vox_plr_0_kill_wind_3,You can't weather this storm!,You can't weather this storm!,1600
vox_plr_0_kill_wind_4,"When the wind blows through here, it's gonna take all you~bastards with it!","When the wind blows through here, it's gonna take all you~with it!",1600
vox_plr_0_kill_wind_upgrade_0,That tornado's gonna chew you up and spit you out!,That tornado's gonna chew you up and spit you out!,1600
vox_plr_0_kill_wind_upgrade_1,How's it feel to be in the eye of the storm?,How's it feel to be in the eye of the storm?,1600
vox_plr_0_kill_wind_upgrade_2,There ain't gonna be a break in this storm until I say so!,There ain't gonna be a break in this storm until I say so!,1600
vox_plr_0_kill_wind_upgrade_3,You should have held on to something!,You should have held on to something!,1600
vox_plr_0_kill_wind_upgrade_4,Ain't no storm shelter for you to hide in around here!,Ain't no storm shelter for you to hide in around here!,1600
vox_plr_0_lockdown_generic_0,So I guess we need to make sure the generators are~running.,So I guess we need to make sure the generators are~running.,1600
vox_plr_0_mech_defeated_0,"Finally, son of a bitch is down.","Finally, he's down.",1600
vox_plr_0_mech_defeated_1,That'll do it.,That'll do it.,1600
vox_plr_0_mech_defeated_2,Hope we don't run into too many more of them.,Hope we don't run into too many more of them.,1600
vox_plr_0_mech_defeated_3,"Damn, those freaks put up a hell of a fight when they're~in those suits.",Those freaks put up one tough fight when they're in those~suits.,1600
vox_plr_0_mech_defeated_4,That's it. We got him.,That's it. We got him.,1600
vox_plr_0_miss_tank_0,Where the hell are you going?,Where are you going?,1600
vox_plr_0_miss_tank_1,DAMMIT I'M NOT ON THE TANK!,"Hey, I'm not on the tank!",1600
vox_plr_0_miss_tank_2,HOW'D I GET LEFT BEHIND?!,HOW'D I GET LEFT BEHIND?!,1600
vox_plr_0_multiple_mechs_0,"That tough old bastard's back, and he's not alone!","That tough old thing is back, and he's not alone!",1600
vox_plr_0_multiple_mechs_1,Arm up! We got multiple Rotbots incoming!,Arm up! We got multiple Rotbots incoming!,1600
vox_plr_0_multiple_mechs_2,Guess we pissed him off! He's bringing backup!,Guess who made him angry? He's bringing backup!,1600
vox_plr_0_nomoney_generic_0,Money. What the hell does money have to do with anything?,Money. What does money have to do with anything?,1600
vox_plr_0_nomoney_generic_1,I'm a little light right now.,I'm a little light right now.,1600
vox_plr_0_nomoney_generic_2,"Alright, I'll be back later.","Alright, I'll be back later.",1600
vox_plr_0_nomoney_generic_3,Did the Germans set these prices?,Did the Germans set these prices?,1600
vox_plr_0_nomoney_generic_4,I got diddly.,I got diddly.,1600
vox_plr_0_oh_shit_0,I got a situation here!,I got a situation here!,1600
