alias,mature,safe,range
vox_plr_0_crawler_start_1,What do you say we split the difference?,What do you say we split the difference?,1250
vox_plr_0_crawler_start_2,Calm your liver and I'll deal with you soon enough.,Calm your liver and I'll deal with you soon enough.,1250
vox_plr_0_crawler_start_3,That one ain't dead yet.,That one ain't dead yet.,1250
vox_plr_0_crawler_start_4,Didn't I tell you I'd cut you down?,Didn't I tell you I'd cut you down?,1250
vox_plr_0_discover_box_0,It is a weird fucking box in here. Should we bust it open?,"Hey, there's a weird box in here. Should we bust it open?",1250
vox_plr_0_discover_trap_0,"This wasn't here yesterday, was it?","This wasn't here yesterday, was it?",1250
vox_plr_0_discover_trap_1,I'm gonna hit this switch and see what happens.,I'm gonna hit this switch and see what happens.,1250
vox_plr_0_discover_trap_2,Did we set up this trap?,Did we set up this trap?,1250
vox_plr_0_discover_wall_buy_0,"Well, that's a new one on me.","Well, that's a new one on me.",1250
vox_plr_0_during_1_oh_shit5_0,What happened to the other prisoners?,What happened to the other prisoners?,1250
vox_plr_0_earn_acheivement_0,What the hell was that about?,What was that about?,1250
vox_plr_0_earn_acheivement_1,"Listen, I don't fucking care unless there's something in~it for me.","Unless there's something in it for me, I don't really~care.",1250
vox_plr_0_electric_zap_0,I think the electric supply needs a little jolt. Know what~I mean?,I think the electric supply needs a little jolt. Know what~I mean?,1250
vox_plr_0_electric_zap_1,Where am I supposed to find all those fucking bolts?,Where am I supposed to find all those fucking bolts?,1250
vox_plr_0_end_scenario_0,Look who's palling around with the weasel.,Look who's palling around with the weasel.,2000
vox_plr_0_end_scenario_1,I had a feeling it was you from the start.,I had a feeling it was you from the start.,2000
vox_plr_0_end_scenario_2,You're going down for good.,You're going down for good.,2000
vox_plr_0_find_map_0,Does anyone else remember planning this year?,Does anyone else remember planning this year?,1250
vox_plr_0_find_secret_0,"Listen, these bastards gotta go to sleep. They need a~lullaby.",How about a lullaby to put these uglies to sleep?,1250
vox_plr_0_finn_electrocution_0,AHHHH!,AHHHH!,1250
vox_plr_0_finn_electrocution_1,AHHHH!,AHHHH!,1250
vox_plr_0_finn_self_0,"You're a smart guy, aren't you Finn? Smarter than the~others for sure.","You're a smart guy, aren't you Finn? Smarter than the~others for sure.",1250
vox_plr_0_finn_self_1,But what about Angela? Your beautiful wife. She had it all~figured out. And you didn't even see it coming.,But what about Angela? Your beautiful wife. She had it all~figured out. And you didn't even see it coming.,1250
vox_plr_0_finn_self_2,"She knew all the cards to play and all the buttons to~press, didn't she? That little bitch.","She knew all the cards to play and all the buttons to~press, didn't she? That little bitch.",1250
vox_plr_0_finn_self_2_0,"Everything here is just a numbers game, isn't it, Finn?~Just like back outside.","Everything here is just a numbers game, isn't it, Finn?~Just like back outside.",1250
vox_plr_0_finn_self_2_1,"All those years at the track, waiting till the last second~before you lay down the cash that would swing the odds in|your favor.","All those years at the track, waiting till the last second~before you lay down the cash that would swing the odds in|your favor.",1250
vox_plr_0_finn_self_2_2,"Every time you took it right down to the wire, you're used~to taking chances, aren't you, Finn? There's no throw like|it, is there?","Every time you took it right down to the wire, you're used~to taking chances, aren't you, Finn? There's no throw like|it, is there?",1250
vox_plr_0_finn_self_2_3,"What now, though? Ain't no playback operations gonna~change the odds here.","What now, though? Ain't no playback operations gonna~change the odds here.",1250
vox_plr_0_finn_self_2_4,"Are you still a betting man, Finn? Wanna bet on how all~this will end?","Are you still a betting man, Finn? Wanna bet on how all~this will end?",1250
vox_plr_0_finn_self_3,"You killed before, Finn, but it was always business.","You killed before, Finn, but it was always business.",1250
vox_plr_0_finn_self_3_0,"It's always the dames, isn't it, Finn? Like they got a~fuckin' sixth sense that leads them right into your blind|spot.","It's always the dames, isn't it, Finn? Like they got a~sixth sense that leads them right into your blind spot.",1250
vox_plr_0_finn_self_3_1,"Angela, how fucking stupid can you get?","But Angela, wow, how stupid can you get?",1250
vox_plr_0_finn_self_3_2,"He was an actress, Finn. Saying things she didn't mean was~a way of life to her.","He was an actress, Finn. Saying things she didn't mean was~a way of life to her.",1250
vox_plr_0_finn_self_3_3,She never loved you. She was only interested in what you~could do for her.,She never loved you. She was only interested in what you~could do for her.,1250
vox_plr_0_finn_self_3_4,"Not only did you marry her, but you let her know the ins~and outs of your business.","Not only did you marry her, but you let her know the ins~and outs of your business.",1250
vox_plr_0_finn_self_3_5,"You shared details, Finn, and you should have known~better. Secrets are there for a reason, pal.","You shared details, Finn, and you should have known~better. Secrets are there for a reason, pal.",1250
vox_plr_0_finn_self_4,"Not this time, though, pal. Angela will be different. She~deserves it. Doesn't she, Finn?","Not this time, though, pal. Angela will be different. She~deserves it. Doesn't she, Finn?",1250
vox_plr_0_free_fall_0,AHHHH!!!!,AHHHH!!!!,1250
vox_plr_0_fuel_pickup_0,Okay! We got a fuel can!,Okay! We got a fuel can!,1250
vox_plr_0_fuel_pickup_1,Got another fuel can!,Got another fuel can!,1250
vox_plr_0_generic_wall_buy_0,"I can fuck around with that box, but better the devil you~know.","I could gamble on that box, but better the devil you know.",1250
vox_plr_0_generic_wall_buy_1,I reckon I'll make do with this.,I reckon I'll make do with this.,1250
vox_plr_0_generic_wall_buy_2,I'm sick of losing money on the box. I'll just take this.,I'm sick of losing money on the box. I'll just take this.,1250
vox_plr_0_headshot_respond_generic_0,This stupid fucker popped right open!,That stupid freak popped right open!,1250
vox_plr_0_headshot_respond_generic_2,Ha! Ha ha ha ha! Ha ha ha ha! He fuckin' went down hard!,Ha! Ha ha ha ha! Ha ha ha ha! He fuckin' went down hard!,1250
vox_plr_0_headshot_respond_generic_3,"Yeah, he's fuckin' done alright.","Yeah, he's done alright.",1250
vox_plr_0_headshot_respond_to_plr_1_0,Not bad for an old man.,Not bad for an old man.,1250
vox_plr_0_headshot_respond_to_plr_1_1,"Don't let anyone say you're past it, Sal.","Don't let anyone say you're past it, Sal.",1250
vox_plr_0_headshot_respond_to_plr_1_2,"Ah, shit! Sal's kicking ass!","You got good aim, Sal. I'll give you that.",1250
vox_plr_0_headshot_respond_to_plr_2_0,"Fuck me, Billy! That shit was cold!","You're in your element, ain't you, Billy?",1250
vox_plr_0_headshot_respond_to_plr_2_1,"Take it to them, Billy!","Take it to them, Billy!",1250
vox_plr_0_headshot_respond_to_plr_2_2,That's how Billy gets shit done.,"Hey, Billy! You leaving any for me?",1250
vox_plr_0_headshot_respond_to_plr_3_0,"Sometimes you surprise me, Weasel.","Sometimes you surprise me, Weasel.",1250
vox_plr_0_headshot_respond_to_plr_3_1,"Hey Weasel, what's got into you today?","Hey Weasel, what's got into you today?",1250
vox_plr_0_headshot_respond_to_plr_3_2,"Hey Weasel, I never saw you shoot this good till~everything started.","Hey Weasel, I never saw you shoot this good till~everything started.",1250
vox_plr_0_headshot_respond_to_plr_3_3,"Congratulations, Weasel. You ain't completely fucking~useless after all.","Congratulations, Weasel. You ain't completely useless.",1250
vox_plr_0_heal_revived_0,You got here just in time.,You got here just in time.,1250
vox_plr_0_heal_revived_1,I thought that was it for sure.,I thought that was it for sure.,1250
vox_plr_0_heal_revived_2,It wouldn't have hurt at all if you got here quicker.,It wouldn't have hurt at all if you got here quicker.,1250
vox_plr_0_heal_revived_3,Now let me find the bastard that put me down in the first~place.,Now let me find the one that put me down in the first~place.,1250
vox_plr_0_heal_revived_4,"Well, that went ass-ways from Sunday.","Well, that went wrong.",1250
vox_plr_0_kill_acidgat_0,Weasel was right! This is some serious firepower!,Weasel was right! This is some serious firepower!,1250
vox_plr_0_kill_acidgat_2,I got all the time in the world for this.,I got all the time in the world for this.,1250
vox_plr_0_kill_acidgat_3,Making this thing sure was worth the effort.,Making this thing sure was worth the effort.,1250
vox_plr_0_kill_acidgat_5,Quit your hollering! You're getting on my nerves!,Quit your hollering! You're getting on my nerves!,1250
vox_plr_0_kill_acidgat_6,"It could have been a lot worse, believe me.","It could have been a lot worse, believe me.",1250
vox_plr_0_kill_acidgat_7,I ain't getting tired. What about you?,I ain't getting tired. What about you?,1250
vox_plr_0_kill_acidgat_8,"It's too bad, this can't go on forever.","It's too bad, this can't go on forever.",1250
vox_plr_0_kill_blundergat_0,"Come and get some, you dumb fucks.","Come and get some, you dumb fucks.",1250
vox_plr_0_kill_blundergat_1,"Keep coming, it don't matter to me!","Keep coming, it don't matter to me!",1250
vox_plr_0_kill_blundergat_3,Any more of you wanna step up?,Any more of you wanna step up?,1250
vox_plr_0_kill_blundergat_4,This is a beast of a gun!,This is a beast of a gun!,1250
vox_plr_0_kill_blundergat_5,You ain't takin' me! Not now! Not ever!,You ain't takin' me! Not now! Not ever!,1250
vox_plr_0_kill_blundergat_7,"Oh, I am loving this gat.","Oh, I am loving this gat.",1250
vox_plr_0_kill_blundergat_8,"You understand I'm in a mean mood, don't you?","You understand I'm in a mean mood, don't you?",1250
vox_plr_0_kill_close_0,Keep your crusty mitts away from me.,Keep your crusty mitts away from me.,1250
vox_plr_0_kill_close_1,You look hungry. Try eating some lead.,You look hungry. Try eating some lead.,1250
vox_plr_0_kill_close_2,I bet you won't do that again.,I bet you won't do that again.,1250
vox_plr_0_kill_close_3,You lost that fucking bet.,You lost that bet.,1250
vox_plr_0_kill_close_4,Take my advice and don't gamble what you can't afford to~lose.,Take my advice and don't gamble what you can't afford to~lose.,1250
vox_plr_0_kill_close_5,Who said you were invited for fucking supper?,Who said you were invited for supper?,1250
vox_plr_0_kill_damaged_0,Don't touch me you fucking goofy looking bastard.,"Don't touch me, you goofy-looking punk!",1250
vox_plr_0_kill_damaged_1,You're not giving me any fucking love bites.,You're not giving me any love bites.,1250
vox_plr_0_kill_damaged_2,"You backed the wrong horse, fucker!","You backed the wrong horse, didn't you?",1250
vox_plr_0_kill_damaged_3,Now that's for giving me lip.,Now that's for giving me lip.,1250
vox_plr_0_kill_damaged_4,I'm only finishing what you started.,I'm only finishing what you started.,1250
vox_plr_0_kill_death_machine_0,Subtle ain't in my vocabulary.,Subtle ain't in my vocabulary.,1250
vox_plr_0_kill_death_machine_1,"Walk through my wall of death, why don't you?","Walk through my wall of death, why don't you?",1250
vox_plr_0_kill_death_machine_2,"This shuts you up, don't it?","This shuts you up, don't it?",1250
vox_plr_0_kill_death_machine_3,I got a whole lot of bullets for you fuckers!,I got a whole lot of bullets for you freaks!,1250
vox_plr_0_kill_death_machine_4,You dumb freaks ain't got nothing on me.,You dumb freaks ain't got nothing on me.,1250
vox_plr_0_kill_death_machine_5,You think there's a way around me? You're fucking wrong!,You think there's a way around me? You're dead wrong!,1250
vox_plr_0_kill_death_machine_6,You just put your fucking tickets straight to hell!,You just put your fucking tickets straight to hell!,1250
vox_plr_0_kill_death_machine_7,Wah-heh-heh-heh-heh. You can cry all you want to. It won't~change nothing!,Wah-heh-heh-heh-heh. You can cry all you want to. It won't~change nothing!,1250
vox_plr_0_kill_explo_0,"Well, that took down a few.","Well, that took down a few.",1250
vox_plr_0_kill_explo_1,We could do with more hits like that one.,We could do with more hits like that one.,1250
vox_plr_0_kill_explo_2,I don't think there's gonna be much left with the smoke~clears.,I don't think there's gonna be much left with the smoke~clears.,1250
vox_plr_0_kill_explo_3,Now that was a fucking big one.,Now that was a big one.,1250
vox_plr_0_kill_explo_4,Nobody's walking away from that!,Nobody's walking away from that!,1250
vox_plr_0_kill_headshot_0,He dropped like a sack of spuds.,He dropped like a sack of spuds.,1250
vox_plr_0_kill_headshot_1,Whatever you had between the ears is gone now.,Whatever you had between the ears is gone now.,1250
vox_plr_0_kill_headshot_2,Right in the yapper.,Right in the yapper.,1250
vox_plr_0_kill_headshot_3,"You're a dumb bastard, you didn't even see it coming.","Didn't even see it coming, did ya, punk?",1250
vox_plr_0_kill_headshot_4,How'd you like that one?,How'd you like that one?,1250
vox_plr_0_kill_headshot_5,"You got a big hole in your head, and I'm not talking about~your mouth.","You got a big hole in your head, and I'm not talking about~your mouth.",1250
vox_plr_0_kill_headshot_6,"When you get to hell, you tell them Finn sent you.",Don't you think I can't hit you from here?,1250
vox_plr_0_kill_headshot_7,"Take a little dirt nap, why don't you?","Take a little dirt nap, why don't you?",1250
vox_plr_0_kill_headshot_8,You're out of this race for good.,You're out of this race for good.,1250
vox_plr_0_kill_insta_0,How's that for a one-punch knockout?,How's that for a one-punch knockout?,1250
vox_plr_0_kill_insta_1,This is too fucking easy.,This is too easy.,1250
vox_plr_0_kill_insta_2,"It's time you croaked, fucker.",It's time you croaked.,1250
vox_plr_0_kill_insta_3,Didn't I tell you to clear off?,Didn't I tell you to clear off?,1250
vox_plr_0_kill_insta_4,You can all kiss my Irish ass!,You can all suck a fart out of my Irish ass.,1250
vox_plr_0_kill_ray_0,"Friend of mine in Boston had a saying, kill one, scare a~thousand.","Friend of mine in Boston had a saying, kill one, scare a~thousand.",1250
vox_plr_0_kill_ray_1,"Whatever this thing shoots, it ain't bullets.","Whatever this thing shoots, it ain't bullets.",1250
vox_plr_0_kill_ray_2,Quit feeling sorry for yourself. It's all over now.,Quit feeling sorry for yourself. It's all over now.,1250
vox_plr_0_kill_ray_3,Didn't I tell you to go boil your head?,Didn't I tell you to go boil your head?,1250
vox_plr_0_kill_ray_4,"Whatever you want to say, you can take it to the grave.","Whatever you want to say, you can take it to the grave.",1250
vox_plr_0_kill_redeemer_0,"Just so you know, that was me.","Just so you know, that was me.",1250
vox_plr_0_kill_redeemer_1,"Hey, how'd you like to hatch it through the head?","Hey, how'd you like to hatch it through the head?",1250
vox_plr_0_kill_redeemer_2,I'm glad catching this thing don't take my fingers off.,I'm glad catching this thing don't take my fingers off.,1250
vox_plr_0_kill_redeemer_3,"And that wasn't luck, you know. I meant to do that.","And that wasn't luck, you know. I meant to do that.",1250
vox_plr_0_kill_redeemer_4,You ought to just pack up and go home.,You ought to just pack up and go home.,1250
vox_plr_0_kill_redeemer_5,"I don't know how it works. Frankly, I don't fucking care.","I don't know how it works. Frankly, I don't even care.",1250
vox_plr_0_kill_redeemer_6,"Oh, this baby's a keeper for sure.","Oh, this baby's a keeper for sure.",1250
vox_plr_0_kill_retriever_1,It's time you gobshites called it a day!,It's time you gobshites called it a day!,1250
vox_plr_0_kill_retriever_10,You think you're bad? You ain't nothing.,You think you're bad? You ain't nothing.,1250
vox_plr_0_kill_retriever_2,"Come back to me, baby!","Come back to me, baby!",1250
vox_plr_0_kill_retriever_3,Don't stop me now. I'm just getting started.,Don't stop me now. I'm just getting started.,1250
vox_plr_0_kill_retriever_4,Fuck me! This shit is fucking great!,Wow! This axe thing is great!,1250
vox_plr_0_kill_retriever_7,"Hey, you freaks. I'm bringing the party to you.","Hey, you freaks. I'm bringing the party to you.",1250
vox_plr_0_kill_retriever_9,You ain't walking that one off!,You ain't walking that one off!,1250
vox_plr_0_kill_streak_0,Looks like I'm on a winning streak.,Looks like I'm on a winning streak.,1250
vox_plr_0_kill_streak_1,Everybody's getting stiff today.,Everybody's getting stiff today.,1250
vox_plr_0_kill_streak_10,"Come here, little pigs. I'm the Big Bad Wolf.","Come here, little pigs. I'm the Big Bad Wolf.",1250
vox_plr_0_kill_streak_11,I will blow your house down!,I will blow your house down!,1250
vox_plr_0_kill_streak_12,Didn't you hear? I'm in for life!,Didn't you hear? I'm in for life!,1250
vox_plr_0_kill_streak_13,You slack-jawed stiffs ain't stopping me from getting out.,You slack-jawed stiffs ain't stopping me from getting out.,1250
vox_plr_0_kill_streak_2,You should learn to stay away from me.,You should learn to stay away from me.,1250
vox_plr_0_kill_streak_3,Ashes to ashes and dust to fucking dust.,Ashes to ashes and dust to fucking dust.,1250
vox_plr_0_kill_streak_4,Get the fuck out of here!,Get out of here!,1250
vox_plr_0_kill_streak_5,The only parole you're getting is backdoor.,The only parole you're getting is backdoor.,1250
vox_plr_0_kill_streak_6,I'm having a big party and you're all invited.,I'm having a big party and you're all invited.,1250
vox_plr_0_kill_streak_7,You picked the wrong fight today.,You picked the wrong fight today.,1250
vox_plr_0_kill_streak_8,Who else wants some?,Who else wants some?,1250
vox_plr_0_kill_streak_9,Rest in fucking peace.,Rest in peace.,1250
vox_plr_0_killswitch_clue_0,"I guess if we want to check out, we can do it here.","I guess if we want to check out, we can do it here.",1250
vox_plr_0_killswitch_clue_1,Did I grab one of these before? What happened?,Did I grab one of these before? What happened?,1250
vox_plr_0_killswitch_clue_2,Here's your shortcut to the afterlife.,Here's your shortcut to the afterlife.,1250
vox_plr_0_need_electricity_0,I guess we need to get some power running through here.,I guess we need to get some power running through here.,1250
vox_plr_0_need_electricity_1,This ain't gonna work without electricity.,This ain't gonna work without electricity.,1250
vox_plr_0_need_electricity_2,We need to get this power on somehow!,We need to get this power on somehow!,1250
vox_plr_0_nomoney_generic_0,Don't tell me I don't have dough.,Don't tell me I don't have dough.,1250
vox_plr_0_nomoney_generic_1,What do you expect me to do? Find a loan shark?,What do you expect me to do? Find a loan shark?,1250
vox_plr_0_nomoney_generic_2,I ain't got scratch.,I ain't got scratch.,1250
vox_plr_0_nomoney_generic_3,Maybe you could put it on the slate.,Maybe you could put it on the slate.,1250
vox_plr_0_nomoney_generic_4,You want sugar? I don't have it.,You want sugar? I don't have it.,1250
vox_plr_0_nomoney_generic_5,I ain't paying for shit unless I know it's worth it.,I ain't paying jack unless I know it's worth it.,1250
vox_plr_0_nomoney_generic_6,"Oh, fuck you! You stupid fucking thing! Why do you want~money anyway?",Stupid thing. What do you want money for anyway?,1250
vox_plr_0_nomoney_generic_7,"You look at him, just put a boat right through you.","You look at him, just put a boat right through you.",1250
vox_plr_0_oh_shit_0,"Ah, shit! I'm right behind the eight ball, guys!","Guys, I'm right behind the eight ball.",1250
vox_plr_0_oh_shit_1,"I got myself in a jam, fellas!","I got myself in a jam, fellas!",1250
vox_plr_0_oh_shit_10,Don't be getting any ideas about taking a chunk out of me.,Don't be getting any ideas about taking a chunk out of me.,1250
vox_plr_0_oh_shit_11,"So it's a fight you want, eh?","So it's a fight you want, eh?",1250
vox_plr_0_oh_shit_12,You're the ones who should be scared. I've got nothing to~lose.,You're the ones who should be scared. I've got nothing to~lose.,1250
vox_plr_0_oh_shit_13,"Come on, I want to see how this turns out.","Come on, I want to see how this turns out.",1250
vox_plr_0_oh_shit_2,I fucking hope someone's got my back!,I sure hope someone's got my back.,1250
vox_plr_0_oh_shit_3,These freaks are really doing a number on me.,These freaks are really doing a number on me.,1250
vox_plr_0_oh_shit_4,I don't like the look of these odds.,I don't like the look of these odds.,1250
vox_plr_0_oh_shit_5,"One step closer, I'll clatter your fucking head off the~wall.","One step closer, I'll clatter your head off the wall.",1250
vox_plr_0_oh_shit_6,"You better kill me good, you sorry-looking bastards!","You better kill me good, you sorry-looking punks.",1250
vox_plr_0_oh_shit_7,Strength in numbers is all you got going!,Strength in numbers is all you got going!,1250
vox_plr_0_oh_shit_8,"Sal, Billy! Where the fuck are you?","You got teeth, I got a gun! How do you think this'll end?",1250
vox_plr_0_oh_shit_9,"What are you all gaping at, you fucking slack-jawed sons~of bitches?",What are you all gaping at? You slack-jawed punks!,1250
vox_plr_0_perk_generic_0,"One more for the road, eh?","One more for the road, eh?",1250
vox_plr_0_perk_generic_1,I'll drink to our victory.,I'll drink to our victory.,1250
vox_plr_0_perk_generic_2,That was fuckin' diabolical. Maybe I'll get a taste for it~one day.,That was diabolical. Maybe I'll get a taste for it one~day.,1250
vox_plr_0_perk_generic_3,"Oh, you know us Irish, we never turn down a drink.","Oh, you know us Irish, we never turn down a drink.",1250
vox_plr_0_perk_generic_4,You sure this is uncontaminated? You can't be too careful.,You sure this is uncontaminated? You can't be too careful.,1250
vox_plr_0_perk_generic_5,"Mmm, this is as sweet as the first batch from my first~still.","Mmm, this is as sweet as the first batch from my first~still.",1250
vox_plr_0_perk_generic_6,"Listen, I hope this doesn't give me a bad dose.","Listen, I hope this doesn't give me a bad dose.",1250
vox_plr_0_pick_up_egg_0,"Oh, this is something.","Oh, this is something.",1250
vox_plr_0_pick_up_egg_1,This thing's important.,This thing's important.,1250
vox_plr_0_pick_up_egg_2,"We're gonna need this, alright?","We're gonna need this, alright?",1250
vox_plr_0_pick_up_egg_3,I found something I think we're gonna need.,I found something I think we're gonna need.,1250
vox_plr_0_plane_crash_0,"Oh, hell!","Ah, no!",1250
vox_plr_0_plane_flight_0,Unbelievable!,Unbelievable!,1250
