alias,mature,safe,range
vox_plr_0_avogadro_storm_0,"Storm coming, and hell's coming with it.","Storm coming, and hell's coming with it.",1250
vox_plr_0_avogadro_storm_1,No good comes from a storm like that.,No good comes from a storm like that.,1250
vox_plr_0_avogadro_storm_2,Nature's got nothing to do with that weather.,Nature's got nothing to do with that weather.,1250
vox_plr_0_avogadro_wound_0,"You like that, you Death Cloud riding piece of junk?","You like that, you Death Cloud riding piece of junk?",1250
vox_plr_0_avogadro_wound_1,I will beat you to death!,I will beat you to death!,1250
vox_plr_0_avogadro_wound_2,"Take that, you lightning bolt bone shaker!","Take that, you lightning bolt bone shaker!",1250
vox_plr_0_box_move_0,"Uh-oh, I know what that light means.","Uh-oh, I know what that light means.",1250
vox_plr_0_box_move_1,"Oh, crap. Ripped off again.","Oh, crap. Ripped off again.",1250
vox_plr_0_box_move_2,Uh-huh. Magic glowing box that gives out free stuff. I~know the devils work when I see it.,Uh-huh. Magic glowing box that gives out free stuff. I~know the devils work when I see it.,1250
vox_plr_0_box_move_3,"Round and round it goes. Where it goes, nobody knows.","Round and round it goes. Where it goes, nobody knows.",1250
vox_plr_0_box_move_4,"So long, Devil Box. I ain't gonna miss your tricky butt.","So long, Devil Box. I ain't gonna miss your tricky butt.",1250
vox_plr_0_build_add_0,Yeah! Russman don't need no book learning to build stuff!,Yeah! Russman don't need no book learning to build stuff!,1250
vox_plr_0_build_add_1,"Fuck you, Darlington. I can build shit, too.","Fuck you, Darlington. I can build shit, too.",1250
vox_plr_0_build_add_2,Great day in the morning. This shit fits together.,Great day in the morning. This shit fits together.,1250
vox_plr_0_build_final_0,I think this might be it.,I think this might be it.,1250
vox_plr_0_build_final_1,"Ballerina, that was way too hard.","Ballerina, that was way too hard.",1250
vox_plr_0_build_final_2,Gotta leave the building to the folks from now on.,Gotta leave the building to the folks from now on.,1250
vox_plr_0_build_pck_bjetgun_0,"Sweet Mother Pearl, you are a gorgeous thing.","Sweet Mother Pearl, you are a gorgeous thing.",1250
vox_plr_0_build_pck_bshield_0,"That'll stop them, then I'll drop them.","That'll stop them, then I'll drop them.",1250
vox_plr_0_build_pck_btrap_0,Woo-hoo-hoo! Wouldn't want to put my foot in that!,Woo-hoo-hoo! Wouldn't want to put my foot in that!,1250
vox_plr_0_build_pck_bturbine_0,The hell's this doohickey do?,The hell's this doohickey do?,1250
vox_plr_0_build_pck_bturret_0,"Woo! This here should make a sweet, sweet song.","Woo! This here should make a sweet, sweet song.",1250
vox_plr_0_build_pck_wjetgun_0,You belong to me now.,You belong to me now.,1250
vox_plr_0_build_pck_wshield_0,Some dummy must have dropped you.,Some dummy must have dropped you.,1250
vox_plr_0_build_pck_wtrap_0,Let's watch my fingers with this thing.,Let's watch my fingers with this thing.,1250
vox_plr_0_build_pck_wturbine_0,"Come here, you!","Come here, you!",1250
vox_plr_0_build_pck_wturret_0,"Oh, go to all the trouble to build you, they should have~used you.","Oh, go to all the trouble to build you, they should have~used you.",1250
vox_plr_0_build_pickup_0,"Well, look at this. Yeah!","Well, look at this. Yeah!",1250
vox_plr_0_build_pickup_1,I smell a plan coming together.,I smell a plan coming together.,1250
vox_plr_0_build_pickup_2,Seems like I ought to be able to do something with this.,Seems like I ought to be able to do something with this.,1250
vox_plr_0_build_plc_shield_0,"Phew! That's heavy, dammit! I'm an old man!","Phew! That's heavy, dammit! I'm an old man!",1250
vox_plr_0_build_plc_trap_0,"Watch out, Russman, or it's zap zap time.","Watch out, Russman, or it's zap zap time.",1250
vox_plr_0_build_plc_turbine_0,Blur! Damn you!,Blur! Damn you!,1250
vox_plr_0_build_plc_turbine_1,Do it to it!,Do it to it!,1250
vox_plr_0_build_plc_turbine_2,"Blow, man, blow!","Blow, man, blow!",1250
vox_plr_0_build_plc_turret_0,Can't keep hauling this thing around. It'll be the death~of me.,Can't keep hauling this thing around. It'll be the death~of me.,1250
vox_plr_0_build_swap_0,I ain't got a head for pieces and parks.,I ain't got a head for pieces and parks.,1250
vox_plr_0_build_swap_1,Maybe I should ask Darlington what to do with this. Like~hell I will.,Maybe I should ask Darlington what to do with this. Like~hell I will.,1250
vox_plr_0_build_swap_2,Can't forget where I dropped this chunk of junk.,Can't forget where I dropped this chunk of junk.,1250
vox_plr_0_bus_down_0,"Oh, hell, I don't want to die in no mass transit.","Oh, hell, I don't want to die in no mass transit.",1250
vox_plr_0_bus_down_1,Never ride the bus.,Never ride the bus.,1250
vox_plr_0_bus_down_2,Help me! Some dummy's chewing me up!,Help me! Some dummy's chewing me up!,1250
vox_plr_0_bus_down_3,"Oh, I'm gonna die looking at gum on the bottom of a bus~seat.","Oh, I'm gonna die looking at gum on the bottom of a bus~seat.",1250
vox_plr_0_bus_down_4,I knew I should have took the train.,I knew I should have took the train.,1250
vox_plr_0_bus_ride_0,Sure beats walking.,Sure beats walking.,1250
vox_plr_0_bus_ride_1,"Oh, that feels good on the knees.","Oh, that feels good on the knees.",1250
vox_plr_0_bus_ride_2,"Tell you what, you drive, I'll relax.","Tell you what, you drive, I'll relax.",1250
vox_plr_0_bus_ride_3,"Ah, good to get off these meat flats.","Ah, good to get off these meat flats.",1250
vox_plr_0_bus_ride_4,This ain't the most scenic route.,This ain't the most scenic route.,1250
vox_plr_0_bus_stop_0,End of the line already?,End of the line already?,1250
vox_plr_0_bus_stop_1,"Oh man, I was just getting used to not walking.","Oh man, I was just getting used to not walking.",1250
vox_plr_0_bus_stop_2,"Time to stretch them legs, kids.","Time to stretch them legs, kids.",1250
vox_plr_0_bus_stop_3,"Here we is, Ugly Town. Population, us.","Here we is, Ugly Town. Population, us.",1250
vox_plr_0_bus_stop_4,Thank you for riding junk-ass bus lines. Have a fucking~day.,Thank you for riding junk-ass bus lines. Have a fucking~day.,1250
vox_plr_0_bus_zom_atk_0,"Seriously, I have to go poop!","Seriously, I have to go poop!",1250
vox_plr_0_bus_zom_atk_1,"If it ain't one thing, it's another.","If it ain't one thing, it's another.",1250
vox_plr_0_bus_zom_atk_2,Just a day. Just one day without a bunch of zombies.~That's all I ask.,Just a day. Just one day without a bunch of zombies.~That's all I ask.,1250
vox_plr_0_bus_zom_atk_3,"Hey! Keep your grubby claws off my ride, you freaky-lopes!","Hey! Keep your grubby claws off my ride, you freaky-lopes!",1250
vox_plr_0_bus_zom_atk_4,Here they come again!,Here they come again!,1250
vox_plr_0_bus_zom_chase_0,"Yeah, come on, dummies. You chase the bus, see where that~gets you.","Yeah, come on, dummies. You chase the bus, see where that~gets you.",1250
vox_plr_0_bus_zom_chase_1,"What are you, late for work?","What are you, late for work?",1250
vox_plr_0_bus_zom_chase_2,"Go catch another bus, sucker!","Go catch another bus, sucker!",1250
vox_plr_0_bus_zom_chase_3,"Keep running, fool. See if I care.","Keep running, fool. See if I care.",1250
vox_plr_0_bus_zom_chase_4,"Come on, we like company!","Come on, we like company!",1250
vox_plr_0_bus_zom_climb_0,"Okay, so ain't no place on this bus safe?","Okay, so ain't no place on this bus safe?",1250
vox_plr_0_bus_zom_climb_1,"Sorry, rides only for paying customers.","Sorry, rides only for paying customers.",1250
vox_plr_0_bus_zom_climb_2,"Oh no, you ain't trying to get up here with Russman!","Oh no, you ain't trying to get up here with Russman!",1250
vox_plr_0_bus_zom_climb_3,Come on up! I'm gonna kick you in the face!,Come on up! I'm gonna kick you in the face!,1250
vox_plr_0_bus_zom_climb_4,Bad enough I'm on the roof. Now I gotta share with~Freakalopes.,Bad enough I'm on the roof. Now I gotta share with~Freakalopes.,1250
vox_plr_0_bus_zom_ent_0,Ain't no place safe from you dummies!,Ain't no place safe from you dummies!,1250
vox_plr_0_bus_zom_ent_1,We reserve the right to deny service.,We reserve the right to deny service.,1250
vox_plr_0_bus_zom_ent_2,"Get off my bus, you chomping mother glovers!","Get off my bus, you chomping mother glovers!",1250
vox_plr_0_bus_zom_ent_3,"Bus is full, catch another!","Bus is full, catch another!",1250
vox_plr_0_bus_zom_ent_4,"Seats taken, sumbitch!","Seats taken, sumbitch!",1250
vox_plr_0_bus_zom_none_0,"Well, looky here. I think we found the one place that~ain't swarming with freak-a-lopes.","Well, looky here. I think we found the one place that~ain't swarming with freak-a-lopes.",1250
vox_plr_0_bus_zom_none_1,Russman likes to ride a bus that's relatively zombie-free.,Russman likes to ride a bus that's relatively zombie-free.,1250
vox_plr_0_bus_zom_none_2,"No zombies? Well, thank Cactus for small favors.","No zombies? Well, thank Cactus for small favors.",1250
vox_plr_0_bus_zom_roof_0,Zombies on the roof!,Zombies on the roof!,1250
vox_plr_0_bus_zom_roof_1,Ain't life tough enough for a tired old man?,Ain't life tough enough for a tired old man?,1250
vox_plr_0_bus_zom_roof_2,"Hey Info, stick your head up top and see what's on the~roof.","Hey Info, stick your head up top and see what's on the~roof.",1250
vox_plr_0_bus_zom_roof_3,Ain't nothing about this seems safe.,Ain't nothing about this seems safe.,1250
vox_plr_0_bus_zom_roof_4,I'll take care of him. Just let him try to eat me.,I'll take care of him. Just let him try to eat me.,1250
vox_plr_0_crawler_attack_0,"I'll wipe my ass with you, you cheap jaw chopper!","I'll wipe my ass with you, you cheap jaw chopper!",1250
vox_plr_0_crawler_attack_1,Nobody takes a bite out of Russman! Nobody!,Nobody takes a bite out of Russman! Nobody!,1250
vox_plr_0_crawler_attack_2,"You no-business, jock-jawed, freakaloop!","You no-business, jock-jawed, freakaloop!",1250
vox_plr_0_crawler_attack_3,"You creepin' up on me, freak?","You creepin' up on me, freak?",1250
vox_plr_0_crawler_attack_4,"Hey, hey, I'm not playing the bite my foot game no more!","Hey, hey, I'm not playing the bite my foot game no more!",1250
vox_plr_0_crawler_kill_0,You didn't let me pass. Now you're pulling my lead out of~your ass.,You didn't let me pass. Now you're pulling my lead out of~your ass.,1250
vox_plr_0_crawler_kill_1,Gotcha!,Gotcha!,1250
vox_plr_0_crawler_kill_2,"Should've stayed dead, freak.","Should've stayed dead, freak.",1250
vox_plr_0_crawler_kill_3,Gonna spread your ass like mayonnaise.,Gonna spread your ass like mayonnaise.,1250
vox_plr_0_crawler_kill_4,Russman don't abide no legless dead motherfuckers!,Russman don't abide no legless dead motherfuckers!,1250
vox_plr_0_crawler_start_0,Now the ground's littered with them!,Now the ground's littered with them!,1250
vox_plr_0_crawler_start_1,"You're broken now, you nasty thing!","You're broken now, you nasty thing!",1250
vox_plr_0_crawler_start_2,"I guess you're halfway to being dead, flesh gulpers! Ha~ha!","I guess you're halfway to being dead, flesh gulpers! Ha~ha!",1250
vox_plr_0_crawler_start_3,Old Russman don't mind stepping over a few goons.,Old Russman don't mind stepping over a few goons.,1250
vox_plr_0_crawler_start_4,You ain't running no more marathons!,You ain't running no more marathons!,1250
vox_plr_0_earn_acheivement_0,Give me my stars!,Give me my stars!,1250
vox_plr_0_find_secret_0,"Well, would you listen to that?","Well, would you listen to that?",1250
vox_plr_0_heal_revived_0,I'm back! I'm luckier than a well-endowed canine!,I'm back! I'm luckier than a well-endowed canine!,1250
vox_plr_0_heal_revived_1,Almost went down for the count. Almost.,Almost went down for the count. Almost.,1250
vox_plr_0_heal_revived_2,"Too slow by half, you damn freakalopes!","Too slow by half, you damn freakalopes!",1250
vox_plr_0_heal_revived_3,He who lives and runs away lives to run another day.,He who lives and runs away lives to run another day.,1250
vox_plr_0_heal_revived_4,Back to life. Get out my knife.,Back to life. Get out my knife.,1250
vox_plr_0_hr_resp_avogadro_attack_0,Watch out for that zippy zappy stew!,Watch out for that zippy zappy stew!,1250
vox_plr_0_hr_resp_avogadro_attack_1,That Zippy Zap is one tricky freak!,That Zippy Zap is one tricky freak!,1250
vox_plr_0_hr_resp_avogadro_attack_2,"You need help? You just shout, big man!","You need help? You just shout, big man!",1250
vox_plr_0_hr_resp_avogadro_attack_3,Kill that electric thingy!,Kill that electric thingy!,1250
vox_plr_0_hr_resp_avogadro_attack_4,"Stop zapping my crew, lightning bug!","Stop zapping my crew, lightning bug!",1250
vox_plr_0_hr_resp_crawler_start_0,Ha ha! That one ain't ever gonna chase this old man ever~again!,Ha ha! That one ain't ever gonna chase this old man ever~again!,1250
vox_plr_0_hr_resp_crawler_start_1,"Dynamite, out of sight.","Dynamite, out of sight.",1250
vox_plr_0_hr_resp_crawler_start_2,Oh yeah! Now your face is at kickin' height!,Oh yeah! Now your face is at kickin' height!,1250
vox_plr_0_hr_resp_crawler_start_3,"Good job, Stewie!","Good job, Stewie!",1250
vox_plr_0_hr_resp_crawler_start_4,Haha! Does a body good to see a body blowed to pieces.,Haha! Does a body good to see a body blowed to pieces.,1250
vox_plr_0_hr_resp_kill_headshot_0,"Not bad. Keep at it, Stu.","Not bad. Keep at it, Stu.",1250
vox_plr_0_hr_resp_kill_headshot_1,"Nice shot, big man!","Nice shot, big man!",1250
vox_plr_0_hr_resp_kill_headshot_2,Samuel Stuhlinger ain't no foolinger.,Samuel Stuhlinger ain't no foolinger.,1250
vox_plr_0_hr_resp_kill_headshot_3,"Stewie, stacking the cordwood.","Stewie, stacking the cordwood.",1250
vox_plr_0_hr_resp_kill_headshot_4,That there is an expert at kicking ass.,That there is an expert at kicking ass.,1250
vox_plr_0_hr_resp_screecher_attack_0,"Watch out, Stewie!","Watch out, Stewie!",1250
vox_plr_0_hr_resp_screecher_attack_1,"Walk it off, Stu!","Walk it off, Stu!",1250
vox_plr_0_hr_resp_screecher_attack_2,Make it stop screaming!,Make it stop screaming!,1250
vox_plr_0_hr_resp_screecher_attack_3,"Come on! Shake, not tap!","Come on! Shake, not tap!",1250
vox_plr_0_hr_resp_screecher_attack_4,"Knife it, Stu! Knife it!","Knife it, Stu! Knife it!",1250
vox_plr_0_hr_resp_surrounded_0,"Time to put that training into play, Stuhlinger!","Time to put that training into play, Stuhlinger!",1250
vox_plr_0_hr_resp_surrounded_1,Come on! Show Russman you were paying attention!,Come on! Show Russman you were paying attention!,1250
vox_plr_0_hr_resp_surrounded_2,"Stay alive, boy, like you've been taught how to do.","Stay alive, boy, like you've been taught how to do.",1250
vox_plr_0_hr_resp_surrounded_3,Time to push you out of the nest!,Time to push you out of the nest!,1250
vox_plr_0_hr_resp_surrounded_4,"Buck up, son! You can take him!","Buck up, son! You can take him!",1250
vox_plr_0_hr_resp_wpck_monkey_0,Get a bunch of them together and then chuck it!,Get a bunch of them together and then chuck it!,1250
vox_plr_0_hr_resp_wpck_monkey_1,"Yeah, now we're in for some fun!","Yeah, now we're in for some fun!",1250
vox_plr_0_hr_resp_wpck_monkey_2,Now that's a good get!,Now that's a good get!,1250
vox_plr_0_hr_resp_wpck_monkey_3,Huh. Never say that Devil Box never did you no favors.,Huh. Never say that Devil Box never did you no favors.,1250
vox_plr_0_hr_resp_wpck_monkey_4,Guess you've been kissing someone's ass.,Guess you've been kissing someone's ass.,1250
vox_plr_0_kill_close_0,I'll skin you alive.,I'll skin you alive.,1250
vox_plr_0_kill_close_1,You're getting too close for comfort!,You're getting too close for comfort!,1250
vox_plr_0_kill_close_2,Rip you wide open and crawl up inside you.,Rip you wide open and crawl up inside you.,1250
vox_plr_0_kill_close_3,I'm gonna use your corpse as a coat!,I'm gonna use your corpse as a coat!,1250
vox_plr_0_kill_damaged_0,"You touching me? No, you ain't touching me!","You touching me? No, you ain't touching me!",1250
vox_plr_0_kill_damaged_1,Ain't no one allowed to touch Russman!,Ain't no one allowed to touch Russman!,1250
vox_plr_0_kill_damaged_2,You no-good freak-a-lope!,You no-good freak-a-lope!,1250
vox_plr_0_kill_damaged_3,"Put you in the dirt, dirt eater.","Put you in the dirt, dirt eater.",1250
vox_plr_0_kill_explo_0,"Up, down, turn around, kill a herd of zombies.","Up, down, turn around, kill a herd of zombies.",1250
vox_plr_0_kill_explo_1,"Damn, I'm getting all wet!","Damn, I'm getting all wet!",1250
vox_plr_0_kill_explo_2,Love juicing me some Freakalopes.,Love juicing me some Freakalopes.,1250
vox_plr_0_kill_explo_3,Russman's making it rain.,Russman's making it rain.,1250
vox_plr_0_kill_explo_4,Ain't no one putting you back together again.,Ain't no one putting you back together again.,1250
vox_plr_0_kill_headshot_0,Long Distance Telegram!,Long Distance Telegram!,1250
vox_plr_0_kill_headshot_1,Garner in one.,Garner in one.,1250
vox_plr_0_kill_headshot_2,"You can't see it, but I killed him!","You can't see it, but I killed him!",1250
vox_plr_0_kill_headshot_3,It goes from me to your brain to the ground.,It goes from me to your brain to the ground.,1250
vox_plr_0_kill_headshot_4,I forgot more about shooting than you kids ever learned.,I forgot more about shooting than you kids ever learned.,1250
vox_plr_0_kill_headshot_5,I love to see what's inside your head.,I love to see what's inside your head.,1250
vox_plr_0_kill_headshot_6,Reach out and say hello!,Reach out and say hello!,1250
vox_plr_0_kill_headshot_7,Say it with bullets!,Say it with bullets!,1250
vox_plr_0_kill_headshot_8,You are dead. I am alive. That's all she wrote.,You are dead. I am alive. That's all she wrote.,1250
vox_plr_0_kill_headshot_9,"Ding dong, you're dead.","Ding dong, you're dead.",1250
vox_plr_0_kill_insta_0,Gotcha!,Gotcha!,1250
vox_plr_0_kill_insta_1,"You're dead now, ain't ya?","You're dead now, ain't ya?",1250
vox_plr_0_kill_insta_2,You fucked with the wrong Russman!,You fucked with the wrong Russman!,1250
vox_plr_0_kill_insta_3,Down you go!,Down you go!,1250
vox_plr_0_kill_insta_4,"I hit you, you hit the grave.","I hit you, you hit the grave.",1250
vox_plr_0_kill_jet_0,"This here thing was a bitch to build, but a joy to deploy.","This here thing was a bitch to build, but a joy to deploy.",1250
vox_plr_0_kill_jet_1,"Suck on this! Or actually, it'll suck on you!","Suck on this! Or actually, it'll suck on you!",1250
vox_plr_0_kill_jet_2,"You lookin' at me? Not when you've been juiced, you ain't!","You lookin' at me? Not when you've been juiced, you ain't!",1250
vox_plr_0_kill_jet_3,"Aw, hell. Russman loves a suckeroo.","Aw, hell. Russman loves a suckeroo.",1250
vox_plr_0_kill_jet_4,"Don't know how it works, don't care how it works, just~loves that it works.","Don't know how it works, don't care how it works, just~loves that it works.",1250
vox_plr_0_kill_limb_0,"Ha! Looks like Russman winged you, fool!","Ha! Looks like Russman winged you, fool!",1250
vox_plr_0_kill_limb_1,"Russman's my name, and killing stank sacks is my game!","Russman's my name, and killing stank sacks is my game!",1250
vox_plr_0_kill_limb_2,I'm so bad I kick my own ass twice a day. And I win.,I'm so bad I kick my own ass twice a day. And I win.,1250
vox_plr_0_kill_limb_3,That's what you get for starting shit.,That's what you get for starting shit.,1250
vox_plr_0_kill_limb_4,"Look at you, you fool! You can't even clap!","Look at you, you fool! You can't even clap!",1250
vox_plr_0_kill_monkey_0,"Oh, like a bunch of little kids with a new toy. It goes~boom!","Oh, like a bunch of little kids with a new toy. It goes~boom!",1250
vox_plr_0_kill_monkey_1,Drawn like flies to shit. That explodes! Fuck you!,Drawn like flies to shit. That explodes! Fuck you!,1250
vox_plr_0_kill_monkey_2,Gonna rain zombiesies like a cow pissin' on a flat rock.,Gonna rain zombiesies like a cow pissin' on a flat rock.,1250
vox_plr_0_kill_monkey_3,"I've seen the edge in a hog calling, and that's still~weird looking.","I've seen the edge in a hog calling, and that's still~weird looking.",1250
vox_plr_0_kill_monkey_4,"When I see a zombie, I explode that motherfucker.","When I see a zombie, I explode that motherfucker.",1250
vox_plr_0_kill_ray_0,Looks like the Zapper does some damage.,Looks like the Zapper does some damage.,1250
vox_plr_0_kill_ray_1,Ah! Space Gun does it in one!,Ah! Space Gun does it in one!,1250
vox_plr_0_kill_ray_2,"One shot, one beautiful explosion.","One shot, one beautiful explosion.",1250
vox_plr_0_kill_ray_3,"Burn holes all through, you stank shufflers!","Burn holes all through, you stank shufflers!",1250
vox_plr_0_kill_ray_4,"Die, you rat soup-eating zombie motherfuckers!","Die, you rat soup-eating zombie motherfuckers!",1250
vox_plr_0_kill_streak_0,Looks like the old man still got it.,Looks like the old man still got it.,1250
vox_plr_0_kill_streak_1,"Keep up, kids, keep up!","Keep up, kids, keep up!",1250
vox_plr_0_kill_streak_2,And do you see that? Magnificent!,And do you see that? Magnificent!,1250
vox_plr_0_kill_streak_3,"Respect your elder, children!","Respect your elder, children!",1250
vox_plr_0_kill_streak_4,Must suck not to be me.,Must suck not to be me.,1250
vox_plr_0_kill_streak_5,Age and experience over youth and vigor every goddamn~time.,Age and experience over youth and vigor every goddamn~time.,1250
vox_plr_0_kill_streak_6,I will not allow you to hinder me.,I will not allow you to hinder me.,1250
vox_plr_0_kill_streak_7,"Get out of my way, I'm coming through!","Get out of my way, I'm coming through!",1250
vox_plr_0_kill_streak_8,"All day, every day, blowin' zombiesies away!","All day, every day, blowin' zombiesies away!",1250
vox_plr_0_kill_streak_9,I AM THE MOTHERFUCKING MAN!,I AM THE MOTHERFUCKING MAN!,1250
vox_plr_0_map_in_1forest1_0,I don't like the smell of trees.,I don't like the smell of trees.,1250
vox_plr_0_map_in_1forest2_0,These old knees don't like to walk in.,These old knees don't like to walk in.,1250
vox_plr_0_map_in_1forest3_0,Too many bugs in these trees.,Too many bugs in these trees.,1250
vox_plr_0_map_in_1forest4_0,"Pine Coons, Rat Turds, and Zombie Freakalopes.","Pine Coons, Rat Turds, and Zombie Freakalopes.",1250
vox_plr_0_map_in_2forest1_0,"Too many trees for this city, boy.","Too many trees for this city, boy.",1250
vox_plr_0_map_in_2forest2_0,"Goody, goody. Lots of places for Freak-a-Lopes to hide.","Goody, goody. Lots of places for Freak-a-Lopes to hide.",1250
vox_plr_0_map_in_2forest3_0,Hate the sound of them owls in the trees.,Hate the sound of them owls in the trees.,1250
vox_plr_0_map_in_2forest4_0,"Oh, did I, did I, did I just dip in beer poop?","Oh, did I, did I, did I just dip in beer poop?",1250
vox_plr_0_map_in_bridge1_0,I cannot believe this bridge is still standing.,I cannot believe this bridge is still standing.,1250
vox_plr_0_map_in_bridge2_0,Wonder how far I could throw diploma off of this here~bridge.,Wonder how far I could throw diploma off of this here~bridge.,1250
vox_plr_0_map_in_bridge3_0,Maybe we'll just fall right through this bridge and solve~everything.,Maybe we'll just fall right through this bridge and solve~everything.,1250
vox_plr_0_map_in_bridge4_0,"Yep, ain't this safe.","Yep, ain't this safe.",1250
vox_plr_0_map_in_bus1_0,Huh. Looks like a great place. To get eaten.,Huh. Looks like a great place. To get eaten.,1250
vox_plr_0_map_in_bus2_0,"Bus station again? Oh, I get it. We're on a loop-de-loop.~Oh, whoop-de-doop.","Bus station again? Oh, I get it. We're on a loop-de-loop.~Oh, whoop-de-doop.",1250
vox_plr_0_map_in_bus3_0,"If I sit here long enough, will a bus come and take me to~some place I ain't been before? I doubt it.","If I sit here long enough, will a bus come and take me to~some place I ain't been before? I doubt it.",1250
vox_plr_0_map_in_bus4_0,I'm fresh out of tickets.,I'm fresh out of tickets.,1250
vox_plr_0_map_in_corn1_0,"No monsters in this here field, I bet. Bullshit, I bet.","No monsters in this here field, I bet. Bullshit, I bet.",1250
vox_plr_0_map_in_corn2_0,Some kind of creepy hiding in this corn.,Some kind of creepy hiding in this corn.,1250
vox_plr_0_map_in_corn3_0,Getting to where I hate corn.,Getting to where I hate corn.,1250
vox_plr_0_map_in_corn4_0,Check out the tassels on this corn. I'm almost interested.~Reminds me of that stripper that... Never mind.,Check out the tassels on this corn. I'm almost interested.~Reminds me of that stripper that... Never mind.,1250
vox_plr_0_map_in_diner1_0,"Come in for a pie and coffee. Stay forever, cause you're~dead.","Come in for a pie and coffee. Stay forever, cause you're~dead.",1250
vox_plr_0_map_in_diner2_0,"Gasoline, zombies, dangly wires. This is gonna be a party.","Gasoline, zombies, dangly wires. This is gonna be a party.",1250
vox_plr_0_map_in_diner3_0,Let's fill her up and top her off!,Let's fill her up and top her off!,1250
